1	915.0	560.0	26.0
2	877.0	370.0	45.0
3	930.0	686.0	10.0
4	963.0	593.0	24.0
5	875.0	487.0	34.0
6	923.0	668.0	19.0
7	899.0	306.0	34.0
8	914.0	457.0	37.0
9	948.0	665.0	34.0
10	892.0	477.0	12.0
11	915.0	504.0	48.0
12	920.0	647.0	14.0
13	886.0	406.0	18.0
14	950.0	576.0	40.0
15	932.0	425.0	38.0
16	951.0	585.0	11.0
17	887.0	512.0	35.0
18	905.0	644.0	29.0
19	886.0	435.0	31.0
20	942.0	332.0	16.0
21	917.0	690.0	21.0
22	894.0	302.0	17.0
23	881.0	544.0	41.0
24	904.0	473.0	18.0
25	897.0	650.0	27.0
26	955.0	521.0	26.0
27	916.0	357.0	20.0
28	954.0	563.0	44.0
29	918.0	431.0	17.0
30	901.0	440.0	30.0
31	925.0	482.0	38.0
32	902.0	697.0	28.0
33	933.0	460.0	39.0
34	945.0	339.0	27.0
35	961.0	663.0	14.0
36	908.0	514.0	35.0
37	879.0	621.0	25.0
38	928.0	548.0	23.0
39	962.0	415.0	43.0
40	895.0	599.0	32.0
41	891.0	445.0	36.0
42	930.0	355.0	47.0
43	928.0	536.0	23.0
44	891.0	471.0	21.0
45	888.0	683.0	34.0
46	940.0	533.0	19.0
47	898.0	312.0	15.0
48	957.0	680.0	49.0
49	878.0	614.0	41.0
50	896.0	588.0	46.0
51	902.0	320.0	25.0
52	885.0	570.0	39.0
53	938.0	604.0	16.0
54	947.0	465.0	14.0
55	952.0	577.0	43.0
56	890.0	378.0	15.0
57	880.0	530.0	11.0
58	960.0	499.0	22.0
59	933.0	495.0	41.0
60	964.0	374.0	39.0
61	905.0	452.0	32.0
62	899.0	348.0	42.0
63	912.0	343.0	26.0
64	908.0	628.0	37.0
65	895.0	490.0	42.0
66	876.0	325.0	33.0
67	955.0	518.0	24.0
68	918.0	336.0	17.0
69	922.0	655.0	36.0
70	939.0	439.0	29.0
71	927.0	625.0	31.0
72	945.0	361.0	20.0
73	949.0	345.0	16.0
74	935.0	409.0	29.0
75	889.0	545.0	12.0
76	911.0	694.0	49.0
77	882.0	382.0	12.0
78	926.0	618.0	19.0
79	937.0	393.0	12.0
80	959.0	364.0	45.0
81	936.0	583.0	32.0
82	906.0	639.0	20.0
83	934.0	420.0	50.0
84	910.0	389.0	47.0
85	943.0	453.0	46.0
86	941.0	310.0	28.0
87	953.0	636.0	30.0
88	948.0	386.0	30.0
89	944.0	611.0	48.0
90	957.0	674.0	27.0
91	924.0	526.0	38.0
92	937.0	399.0	49.0
93	921.0	507.0	23.0
94	883.0	423.0	22.0
95	963.0	657.0	44.0
96	911.0	565.0	13.0
97	958.0	552.0	45.0
98	907.0	403.0	40.0
99	921.0	607.0	47.0
100	883.0	316.0	43.0
101	875.0	300.0	10.0
102	875.0	300.0	50.0
103	875.0	700.0	10.0
104	875.0	700.0	50.0
105	965.0	300.0	10.0
106	965.0	300.0	50.0
107	965.0	700.0	10.0
108	965.0	700.0	50.0
