950.49	633.48	670.83	580.22	389.34	30.82
935.79	689.07	351.80	456.23	474.93	30.68
908.09	584.34	382.79	468.10	527.59	20.05
875.05	339.77	472.38	680.91	621.88	21.46
918.71	440.77	616.65	312.87	438.97	49.16
878.92	687.59	454.32	676.14	586.09	18.76
885.79	330.63	588.08	405.77	625.64	28.77
893.37	387.06	601.54	541.92	323.56	11.91
953.17	582.31	512.56	341.25	502.63	12.64
917.44	620.70	305.10	496.62	410.59	16.23
944.42	320.59	539.79	440.67	338.45	39.11
942.81	672.23	536.00	370.39	579.49	39.46
953.52	377.16	478.01	521.85	568.36	18.24
876.16	640.26	401.29	432.42	543.09	45.92
930.53	652.22	300.88	490.82	662.89	24.42
958.55	383.87	412.78	602.59	638.96	42.09
879.76	606.96	316.23	646.38	668.59	41.56
954.43	444.07	531.38	607.19	562.70	38.34
937.34	502.65	639.01	545.79	375.68	40.64
903.17	407.69	587.78	331.21	591.15	49.20
892.46	365.32	440.44	638.94	305.98	46.50
910.72	411.48	559.98	305.03	648.04	25.03
922.52	342.45	493.71	548.20	350.32	15.80
896.26	478.48	659.30	345.86	315.46	12.81
896.89	309.21	661.68	320.50	356.47	14.41
915.98	460.92	322.25	338.65	401.25	26.47
931.16	394.95	312.84	643.73	355.57	33.93
963.33	567.76	364.81	349.74	319.31	31.61
902.07	534.15	593.51	396.75	453.48	47.66
926.69	679.93	370.34	578.49	596.01	33.02
881.13	601.00	308.27	556.37	347.56	37.15
877.95	664.66	327.11	494.74	395.90	22.23
928.42	426.31	646.54	561.07	434.48	18.86
925.01	428.46	450.96	538.82	484.66	10.57
921.34	356.36	597.56	402.16	659.70	34.60
898.36	303.95	520.42	479.05	471.04	17.51
888.98	437.56	361.29	505.65	581.87	11.09
932.24	682.24	626.22	390.50	422.02	45.19
900.07	345.97	375.92	416.92	459.38	32.27
887.92	516.09	387.88	301.67	682.68	24.26
932.73	505.68	607.23	386.70	450.00	13.40
946.61	596.64	527.27	593.89	691.25	32.73
912.96	561.44	688.66	552.30	361.20	37.65
939.86	450.57	628.74	588.33	325.39	34.35
906.50	538.99	611.45	567.07	518.71	16.73
925.84	351.83	551.48	634.02	628.45	48.59
961.43	487.38	519.54	650.17	566.23	19.51
883.96	543.76	572.62	657.78	384.01	29.45
938.73	660.36	652.09	512.67	340.13	31.34
899.09	457.11	458.71	575.17	302.71	11.54
915.13	531.30	427.10	437.32	699.21	29.87
905.20	488.30	687.16	534.38	513.61	49.82
912.38	324.43	615.22	421.93	555.30	25.84
949.21	520.67	379.95	381.02	371.72	47.11
947.90	693.75	509.75	696.82	692.57	22.60
890.90	559.32	674.08	503.60	467.46	20.52
960.61	464.01	620.20	629.14	634.50	26.83
945.95	388.83	388.70	693.95	611.97	28.84
905.79	318.18	357.73	379.15	414.60	27.32
959.76	363.20	634.27	689.51	445.55	21.97
941.32	594.14	554.87	361.49	547.69	25.57
916.74	577.01	417.85	529.71	675.97	21.08
936.51	610.61	667.86	450.18	640.53	43.96
929.73	453.29	678.63	612.96	417.93	10.37
889.68	421.66	423.76	526.51	404.57	35.25
914.41	669.30	695.57	509.12	511.40	23.44
924.00	591.75	469.88	620.03	328.20	34.92
911.47	639.78	540.66	618.62	334.23	38.41
881.61	315.35	568.21	661.96	538.71	45.29
959.19	568.94	481.05	598.47	424.46	26.34
900.22	397.81	337.32	571.53	535.44	14.82
947.41	628.78	496.14	356.70	476.49	40.92
944.10	544.14	650.81	627.44	613.59	37.29
923.39	549.78	484.96	427.96	676.65	40.34
942.29	515.66	579.80	652.89	607.47	30.12
904.41	509.73	410.38	309.20	442.48	16.86
962.87	494.20	404.13	587.66	376.70	13.88
957.43	649.45	506.53	373.39	396.22	23.99
901.53	374.85	547.62	395.90	490.16	43.15
934.81	572.35	566.51	687.75	308.00	23.20
920.48	499.72	467.66	666.24	481.11	27.72
883.07	355.51	398.86	485.84	366.76	41.71
955.87	617.39	488.97	446.14	645.24	19.93
877.62	527.92	446.33	410.67	575.48	42.51
933.71	699.29	437.59	609.21	595.43	44.71
964.76	434.72	344.82	429.11	559.29	46.29
